pref,code,handle,name_ja,population,source_type,A,B,C,D,E,total,rank,estimated
tokyo,13122,katsushika,葛飾区,474536,image-pdf,20,3,20,10,15,68,B,D
tokyo,13206,tokyo-fuchu,府中市,263231,image-pdf,20,3,20,10,15,68,B,D
saitama,11210,kazo,加須市,109479,image-pdf,20,3,20,10,15,68,B,D
saitama,11241,tsurugashima,鶴ヶ島市,70534,image-pdf,20,3,20,10,15,68,B,
saitama,11301,saitama-ina-town,伊奈町,44420,image-pdf,20,3,20,10,15,68,B,
tokyo,13121,adachi,足立区,708138,pdf,20,10,10,10,15,65,B,D
saitama,11221,soka,草加市,251623,pdf,20,10,20,10,5,65,B,DE
tokyo,13105,bunkyo,文京区,237413,pdf,20,10,10,10,15,65,B,
tokyo,13203,musashino,武蔵野市,148594,pdf,20,10,10,10,15,65,B,
saitama,11227,asaka,朝霞市,147521,html,20,15,10,10,10,65,B,D
saitama,11237,misato,三郷市,140427,pdf,20,10,10,10,15,65,B,D
tokyo,13222,higashikurume,東久留米市,116809,html,15,15,10,10,15,65,B,D
tokyo,13207,akishima,昭島市,116765,pdf,20,10,20,10,5,65,B,E
saitama,11245,fujimino,ふじみ野市,112602,pdf,20,10,20,10,5,65,B,E
saitama,11246,shiraoka,白岡市,51298,pdf,20,10,20,10,5,65,B,DE
saitama,11383,saitama-kamikawa-town,神川町,12476,html,20,15,10,10,10,65,B,
saitama,11381,saitama-misato-town,美里町,10233,html,20,15,10,10,10,65,B,
saitama,11327,ogose-town,越生町,10097,pdf,20,10,20,10,5,65,B,DE
saitama,11362,minano-town,皆野町,8278,pdf,20,10,20,10,5,65,B,E
saitama,11363,nagatoro-town,長瀞町,5998,pdf,20,10,20,10,5,65,B,DE
tokyo,13382,mikurajima-vill,御蔵島村,287,html,20,15,10,10,10,65,B,
saitama,11201,kawagoe,川越市,355376,pdf,20,10,14,10,10,64,B,
tokyo,13202,tachikawa,立川市,188040,html,15,15,14,10,10,64,B,D
tokyo,13213,higashimurayama,東村山市,152444,pdf,15,10,14,10,15,64,B,D
saitama,11218,fukaya,深谷市,137934,pdf,20,10,14,10,10,64,B,D
tokyo,13227,hamura,羽村市,53953,pdf,20,10,14,10,10,64,B,D
saitama,11214,kasukabe,春日部市,222659,image-pdf,20,3,20,10,10,63,B,
tokyo,13223,musashimurayama,武蔵村山市,70516,image-pdf,20,3,20,10,10,63,B,D
saitama,11233,kitamoto,北本市,64120,image-pdf,20,3,20,10,10,63,B,
tokyo,13305,hinode-town,日の出町,15637,image-pdf,20,3,20,10,10,63,B,D
tokyo,13123,edogawa,江戸川区,701652,pdf,20,10,10,10,10,60,B,
tokyo,13117,kita,北区,369802,pdf,20,10,10,10,10,60,B,D
tokyo,13113,shibuya,渋谷区,231424,pdf,20,10,10,10,10,60,B,
tokyo,13102,chuo,中央区,191873,html,15,15,10,10,10,60,B,
saitama,11202,kumagaya,熊谷市,188244,pdf,20,10,10,10,10,60,B,D
saitama,11229,wako,和光市,84378,html,20,15,10,10,5,60,B,E
saitama,11211,honjo,本庄市,76085,html,20,15,10,10,5,60,B,CDE
saitama,11342,ranzan-town,嵐山町,17261,pdf,20,10,10,10,10,60,B,
tokyo,13401,hachijo-town,八丈町,6551,pdf,20,10,10,10,10,60,B,
saitama,11369,higashichichibu-vill,東秩父村,2223,html,20,15,10,10,5,60,B,E
tokyo,13402,aogashima-vill,青ヶ島村,159,pdf,20,10,10,10,10,60,B,D
tokyo,13107,sumida,墨田区,289527,pdf,20,10,5,10,15,59,C,
tokyo,13205,ome,青梅市,128407,pdf,20,10,5,10,15,59,C,D
saitama,11219,ageo,上尾市,224884,image-pdf,20,3,20,10,5,58,C,E
saitama,11324,saitama-miyoshi-town,三芳町,37201,image-pdf,20,3,20,10,5,58,C,E
saitama,11442,miyashiro-town,宮代町,33509,image-pdf,20,3,20,10,5,58,C,DE
saitama,11209,hanno,飯能市,77256,pdf,10,10,20,10,5,55,C,ADE
saitama,11242,hidaka,日高市,53141,pdf,10,10,20,10,5,55,C,ADE
tokyo,13363,niijima-vill,新島村,2339,pdf,20,10,10,10,5,55,C,E
saitama,11224,toda,戸田市,139749,image-pdf,20,3,14,10,5,52,C,E
tokyo,13116,toshima,豊島区,297511,app-only,5,0,20,10,10,45,C,
saitama,11235,fujimi,富士見市,113307,image-pdf,20,3,5,10,5,43,C,E
saitama,11216,hanyu,羽生市,52179,html,20,15,5,10,15,19,E,
tokyo,13421,ogasawara-vill,小笠原村,2434,pdf,20,10,5,10,10,19,E,
tokyo,13364,kouzushima-vill,神津島村,1688,none,0,0,0,0,0,0,E,
